District,Code,Party,first_name,last_name,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2020 Incumbent,biden_2020,trump_2020,dem_house_2020,rep_house_2020,white_%,black_%,latino_%,asian_%,native_%
Alabama's 1st,AL-01,Republican,Jerry,Carl,2020,1958,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Open - Ran for Senate,35.29404675,63.68753126,35.53870698,64.36982451,68.31974998,26.35233132,2.063235115,1.068578005,1.092906401
Alabama's 2nd,AL-02,Republican,Barry,Moore,2020,1966,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Open - Retired,35.13892421,63.88785644,34.68272452,65.22273355,65.27110302,30.51023176,1.933958608,0.6297961398,0.3962871095
Alabama's 3rd,AL-03,Republican,Mike,Rogers,2002,1958,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,33.7176396,65.28648985,32.4593308,67.46153416,70.74936121,25.26457607,1.803484321,0.8343786295,0.2991869919
Alabama's 4th,AL-04,Republican,Robert,Aderholt,1996,1965,Man,White - Non-Hispanic,Christian - Protestant - Congregationalist,No,Won,17.81370333,81.23314366,17.6829786,82.24187102,88.47309051,6.962910784,2.172913426,0.4177550801,0.746480389
Alabama's 5th,AL-05,Republican,Mo,Brooks,2010,1954,Man,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Won,35.6521572,62.72826394,0,95.8108722,76.63040462,17.29015189,2.39681042,1.223844147,0.6512367949
Alabama's 6th,AL-06,Republican,Gary,Palmer,2014,1954,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,31.76423869,67.03226347,0,97.12996128,80.7132278,15.14358807,1.830194849,1.044451711,0.2260093481
Alabama's 7th,AL-07,Democratic,Terri,Sewell,2010,1965,Woman,Black - African-American,Christian - Protestant - Methodist,No,Won,70.78985035,28.48138267,97.16396004,0,35.26764752,62.23293943,1.165088433,0.4372750039,0.1486930662
Alaska's At-Large,AK-AL,Republican,Don,Young,1973 Special,1933,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,43.00652461,53.12289376,45.26382852,54.40120057,66.95419365,3.097749748,5.640242465,5.415877146,13.34502296
Arizona's 1st,AZ-01,Democratic,Tom,O'Halleran,2016,1946,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,50.10506479,48.36272917,51.61017367,48.38982633,55.05547415,2.24445031,18.29236104,1.39436248,21.33046937
Arizona's 2nd,AZ-02,Democratic,Ann,Kirkpatrick,"2018, 2012-2016, 2008-2010",1950,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,54.5192573,43.89044441,55.09586568,44.8689687,68.33801459,3.538288977,22.4959908,2.623358084,1.037292472
Arizona's 3rd,AZ-03,Democratic,Raúl,Grijalva,2002,1948,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,62.79493136,35.74149811,64.57342766,35.42657234,36.11070219,5.225967908,52.13665328,1.763369856,3.519379193
Arizona's 4th,AZ-04,Republican,Paul,Gosar,2010,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,30.59295331,68.00100986,30.22504973,69.74058195,79.7937425,1.741786714,14.19126469,1.217633995,1.465245101
Arizona's 5th,AZ-05,Republican,Andy,Biggs,2016,1958,Man,White - Non-Hispanic,Christian - Mormon,No,Won,41.93961314,56.4456892,41.10134027,58.88250381,76.64732419,3.041282881,14.13017157,3.65294756,0.9713091597
Arizona's 6th,AZ-06,Republican,David,Schweikert,2010,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,47.27082215,51.38829777,47.82728477,52.17271523,80.18000495,2.573646426,11.21848145,3.074053117,1.442868763
Arizona's 7th,AZ-07,Democratic,Ruben,Gallego,2014,1979,Man,Hispanic - Mexican/Colombian,Christian - Roman Catholic,No,Won,73.66305628,24.72966704,76.69330466,23.28166429,31.93344849,11.83244566,48.98757257,2.642627513,2.848951586
Arizona's 8th,AZ-08,Republican,Debbie,Lesko,2018 Special,1958,Woman,White - Non-Hispanic,Christian - Protestant,No,Won,41.3919973,57.28257304,40.43298056,59.56275875,74.78998882,4.410018119,15.31586202,3.196331198,0.6415202296
Arizona's 9th,AZ-09,Democratic,Greg,Stanton,2018,1970,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,60.78991752,37.33588577,61.62646122,38.37353878,66.69238825,5.78092561,19.14879935,3.674511749,2.625438645
Arkansas' 1st,AR-01,Republican,Rick,Crawford,2010,1966,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,27.93325286,69.05841479,0,100,79.27636094,16.53535381,1.805437359,0.3303410474,0.3532178512
Arkansas' 2nd,AR-02,Republican,French,Hill,2014,1956,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,44.26378518,53.11372234,44.63418375,55.36581625,73.05533138,21.70685634,2.410493362,1.019892335,0.2988727973
Arkansas' 3rd,AR-03,Republican,Steve,Womack,2010,1957,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,35.17659459,61.86646579,31.80888046,64.30883558,85.01858364,2.964295775,6.76735458,2.04919895,1.136828331
Arkansas' 4th,AR-04,Republican,Bruce,Westerman,2014,1967,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,29.60209379,67.65016753,27.54194921,69.67004199,76.10185635,19.0546446,2.485713219,0.481828708,0.6676502446
California's 1st,CA-01,Republican,Doug,LaMalfa,2012,1960,Man,White - Non-Hispanic,Christian - Protestant,No,Won,41.128601,56.40151064,43.00555737,56.99444263,81.9499945,1.635993694,9.795798658,2.309638157,1.520511786
California's 2nd,CA-02,Democratic,Jared,Huffman,2012,1964,Man,White - Non-Hispanic,Unknown/Refused,No,Won,73.64857937,23.92305249,75.73793263,24.26206737,79.90963798,1.560453329,10.17237124,3.53380033,1.782561649
California's 3rd,CA-03,Democratic,John,Garamendi,2009 Special,1945,Man,White - Non-Hispanic,Christian - Protestant,No,Won,54.88382599,42.65258904,54.67377666,45.32622334,57.00180977,6.863060527,20.93102755,10.8505932,0.7470339835
California's 4th,CA-04,Republican,Tom,McClintock,2008,1956,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,43.94979001,53.69396963,44.05459457,55.94540543,80.79353364,1.319555708,10.17930116,4.408720229,0.6822805091
California's 5th,CA-05,Democratic,Mike,Thompson,1998,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,72.44896,25.26284606,76.09072547,23.90927453,60.49829412,6.800908492,17.70477942,11.25487921,0.4886585977
California's 6th,CA-06,Democratic,Doris,Matsui,2005 Special,1944,Woman,Asian - Japanese,Christian - Protestant - Methodist,No,Won,70.2541675,27.22724097,73.34325517,26.65674483,44.49359412,14.02566429,21.12258314,16.19764965,0.4668086798
California's 7th,CA-07,Democratic,Ami,Bera,2012,1965,Man,Asian - Indian,Unitarian Universalist,No,Won,55.6481876,41.85074733,56.62391103,43.37608897,59.94667021,7.546829629,13.860052,14.48065134,0.4450475413
California's 8th,CA-08,Republican,Jay,Obernolte,2020,1970,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Ran for county board of supervisors,43.58262412,54.04840278,43.94036261,56.05963739,53.95086217,7.988833265,31.83254096,3.200990733,0.9760397972
California's 9th,CA-09,Democratic,Jerry,McNerney,2006,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,57.91499584,39.90764472,57.58302766,42.41697234,43.8218406,10.03944293,28.72249305,14.00065562,0.3003161779
California's 10th,CA-10,Democratic,Josh,Harder,2018,1986,Man,White - Non-Hispanic,Christian - Protestant,No,Won,50.32992583,47.43787912,55.16307761,44.83692239,53.2451846,3.613955576,32.63035252,7.328387883,0.5387262971
California's 11th,CA-11,Democratic,Mark,DeSaulnier,2014,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,74.32415165,23.60377698,72.99276166,27.00723834,55.84071063,9.046695539,17.27142096,13.77955525,0.2210677573
