congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.357,0.459,-169.8181,0.80046,763,70,,0.52,0.388
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.392,0.401,-28.49993,0.96452,789,11,,-0.43,0.384
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.362,0.658,-90.42097,0.88244,723,31,,0.346,0.672
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.648,-0.433,-142.38162,0.83789,805,57,,0.772,-0.337
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.61,0.25,-107.81607,0.85611,694,42,,0.702,0.194
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.705,-0.028,-101.49351,0.87915,788,43,,0.669,0.085
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.37,0.589,-120.18381,0.8532,757,44,,0.449,0.499
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.022,-225.14189,0.74591,768,84,,0.336,0.085
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.255,-23.15599,0.97037,770,9,,-0.594,-0.543
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.165,-0.007,-47.03018,0.93625,714,19,,-0.369,0.401
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.679,-0.418,-118.28404,0.85481,754,46,,0.919,-0.395
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.588,-0.32,-202.8454,0.77823,809,95,,0.521,-0.312
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.449,-0.014,-21.34725,0.9736,798,11,,-0.431,0.046
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.883,-0.469,-94.22602,0.8881,794,30,,1.0,-0.03
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.19,0.149,-44.35411,0.946,799,14,,-0.333,0.404
116,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.604,-0.016,-107.66302,0.87305,793,49,,0.591,0.019
116,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.313,-0.051,-20.25087,0.97528,809,8,,-0.313,-0.042
116,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.417,0.498,-88.42698,0.88822,746,37,,0.508,0.518
116,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.356,0.579,-69.97592,0.91733,811,25,,0.382,0.599
116,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.453,0.226,-93.86671,0.88994,805,35,,0.421,0.337
