election_year,state,district_id,contested_election,dem_2_party_pct,winning_party,dem_last_name,rep_last_name
2020,AL,AL.2,TRUE,0.3980369,R,JONES,TUBERVILLE
2020,AK,AK.2,TRUE,0.4331686,R,GROSS,SULLIVAN
2020,AR,AR.2,FALSE,0,R,,COTTON
2020,AZ,AZ.3,TRUE,0.5117023,D,KELLY,MCSALLY
2020,CO,CO.2,TRUE,0.5477068,D,HICKENLOOPER,GARDNER
2020,DE,DE.2,TRUE,0.6106431,D,COONS,WITZKE
2020,GA,GA.2,TRUE,0.506,D,OSSOFF,PERDUE
2020,GA,GA.3,TRUE,0.51,D,DEMOCRATS,REPUBLICANS
2020,ID,ID.2,TRUE,0.3468238,R,JORDAN,RISCH
2020,IL,IL.2,TRUE,0.5856077,D,DURBIN,CURRAN
2020,IA,IA.2,TRUE,0.465995,R,GREENFIELD,ERNST
2020,KS,KS.2,TRUE,0.4398484,R,BOLLIER,MARSHALL
2020,KY,KY.2,TRUE,0.3982707,R,MCGRATH,MCCONNELL
2020,LA,LA.2,TRUE,0.3658132,R,DEMOCRATS,REPUBLICANS
2020,ME,ME.2,TRUE,0.4539744,R,GIDEON,COLLINS
2020,MA,MA.2,TRUE,0.6668736,D,MARKEY,O'CONNOR
2020,MI,MI.2,TRUE,0.5085609,D,PETERS,JAMES
2020,MN,MN.2,TRUE,0.5284042,D,SMITH,LEWIS
2020,MS,MS.2,TRUE,0.449206,R,ESPY,HYDE-SMITH
2020,MT,MT.2,TRUE,0.4499,R,BULLOCK,DAINES
2020,NE,NE.2,TRUE,0.280257,R,JANICEK,SASSE
2020,NH,NH.2,TRUE,0.5801495,D,SHAHEEN,MESSNER
2020,NJ,NJ.2,TRUE,0.5830871,D,BOOKER,MEHTA
2020,NM,NM.2,TRUE,0.5313816,D,LUJAN,RONCHETTI
2020,NC,NC.2,TRUE,0.4908502,R,CUNNINGHAM,TILLIS
2020,OK,OK.2,TRUE,0.3423584,R,BROYLES,INHOFE
2020,OR,OR.2,TRUE,0.5913956,D,MERKLEY,PERKINS
2020,RI,RI.2,TRUE,0.6659321,D,REED,WATERS
2020,SC,SC.2,TRUE,0.4479262,R,HARRISON,GRAHAM
2020,SD,SD.2,TRUE,0.3426,R,AHLERS,ROUNDS
2020,TN,TN.2,TRUE,0.3611339,R,BRADSHAW,HAGERTY
2020,TX,TX.2,TRUE,0.4505032,R,HEGAR,CORNYN
2020,VA,VA.2,TRUE,0.5604605,D,WARNER,GADE
2020,WV,WV.2,TRUE,0.2775493,R,SWEARENGIN,CAPITO
2020,WY,WY.2,TRUE,0.2686613,R,BEN DAVID,LUMMIS
1964,NY,NY.1,TRUE,0.5519,D,KENNEDY,KEATING
1964,VA,VA.1,TRUE,0.7703,D,BYRD SR,MAY
1966,AK,AK.2,TRUE,0.7554,D,BARTLETT,MCKINLEY
1966,AL,AL.2,TRUE,0.6063,D,SPARKMAN,GRENIER
1966,AR,AR.2,FALSE,1.0000,D,MCCLELLAN,
1966,CO,CO.2,TRUE,0.4195,R,ROMER,ALLOTT
